Copywriting Document Link,Client Name,Email,First Name,Last Name,Company Name,Phone Number,Address,Custom 1,Custom 2,Custom 3,Campaign Type,Sequence Stage,Messaging Status,Responded?,Replied Timestamp,Qualified?,Last Message Sent Timestamp,Added To Retargeting Campaign?,Retargeting Stage,Retargeting Status,Retargeting Responded?,Retargetin Replied Time Stamp,Last Message Sent Time Stamp,Recycled?,Lead Stage,Last Contacted Date,Campaign Assigned,Outreach Channel,Owner / Assigned To,Deliverability,Opener Sender Used,Opener Time Sent,Opener Date Sent,Opener Subject Sent,Opener Body Sent,Bounce Status for Opener,Follow Up 1 Sender Used,Follow Up 1 Time Sent,Follow Up 1 Date Sent,Follow Up 1 Subject Sent,Follow Up 1 Body Sent,Bounce Status for Follow Up 1,Follow Up 2 Sender Used,Follow Up 2 Time Sent,Follow Up 2 Date Sent,Follow Up 2 Subject Sent,Follow Up 2 Body Sent,Bounce Status for Follow Up 2,Follow Up 3 Sender Used,Follow Up 3 Time Sent,Follow Up 3 Date Sent,Follow Up 3 Subject Sent,Follow Up 3 Body Sent,Bounce Status for Follow Up 3,Follow Up 4 Sender Used,Follow Up 4 Time Sent,Follow Up 4 Date Sent,Follow Up 4 Subject Sent,Follow Up 4 Body Sent,Bounce Status for Follow Up 4,Follow Up 5 Sender Used,Follow Up 5 Time Sent,Follow Up 5 Date Sent,Follow Up 5 Subject Sent,Follow Up 5 Body Sent,Bounce Status for Follow Up 5,Follow Up 6 Sender Used,Follow Up 6 Time Sent,Follow Up 6 Date Sent,Follow Up 6 Subject Sent,Follow Up 6 Body Sent,Bounce Status for Follow Up 6," ""Notes""",
"","Outbound Accelerator","bernie@growthwheel.com","","","Growthwheel","+1 646 918 1809","240 Kent Ave floor 2","http://www.growthwheel.com/","GrowthWheel® is a visual toolbox and cloud-based platform used by business advisors to help client companies make decisions and take action with a 360° view on the company.","growthwheel®","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","info@ccsglobaltech.com","","","Ccsglobaltech","+1-858-208-4131","13475 Danielson St Suite 230","https://ccsglobaltech.com/","Discover CCS Global Tech's expert IT services, from data and cloud services to application development and staffing solutions. Empowering businesses and government agencies with cutting-edge technology and skilled talent.","discover","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","hola@neomkt.co","","","Neomkt","+1 (786) 305-8415","7914 NW 66th St","https://neomkt.co/","Somos especialistas en la creación de herramientas inteligentes para vender, cobrar, gestionar y crecer.","somos","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","hello@magaya.com","","","Magaya","786.845.9150","7950 NW 53rd St STE 300","http://www.magaya.com/","The Magaya Digital Freight Platform is a logistics software platform for shipping, warehousing, accounting, visibility, customer experience, and compliance.","demo","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","contactus@menderconsulting.com","","","Menderconsulting","(919) 388 1166","1017 Longwillow Ct","https://menderconsulting.com/contact.php","About MENDER ConsultingMender Consulting is a global leader in Training, Placement, Technology Solutions, Outsourcing and Staffing Solutions and offer these services across USA.","service","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","hello@solarinbound.com","","","Solarinbound","","506 Ramseur St Suite 1","https://solarinbound.com/","WHO WE AREWe are your long-term growth partnerWe work with strategic solar installers that align with our vision of high growth without compromising service and quality. Other providers offer their templates or their services, we still go unmatched with our elite level of implementation. We are a true long-term partner and see ourselves as your team.Get a consultation","work","","","","","","","","b","","","","","","","","","","","",""
"","Outbound Accelerator","hr@techlogyx.com","","","Techlogyx","+1 (302)219 3126","118 International Dr Suite #110","https://techlogyx.com/","Services DevOps Full stack Java Data Engineer Salesforce RPA Snowflake Servicenow Telecommunication","devops","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","miami@thrivas.com","","","Thrivas","(305) 809-7495","1951 NW 7th Ave #160-150","https://www.thrivas.com/temp-agencies/miami-fl-staffing-agency/","Staffing agencies in Miami, FL or near me. Thrivas is a leader among staffing agencies and temp agencies in Miami, FL. Employment. Local staffing services.","staffing","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","contacto@facilcloud.com","","","Facilcloud","+1 305-749-5669","350 Lincoln Rd","http://www.facilcloud.com/","Facilcloud, provider leader in American in cloud computing, VPS and web hosting for their great prices and customer services","products","","","","","","","","","","","","","","","","","","","",""
"","Outbound Accelerator","info@jfwaccountingservices.com","","","Jfwaccountingservices","1-888-690-1830","1120 Connecticut Ave NW Suite 500","https://jfwaccountingservices.cpa/","Based in Washington, DC, JFW Accounting Services provides outsourced virtual bookkeeping and accounting services to nonprofits and small businesses across the country.","based","","","","","","","","","","","","","","","","","","","",""
